text,audio
Det är kul men det är ju bilarnas ägare som belönas och inte konstnären.,"[3.0517578e-05 3.9672852e-04 2.1362305e-04 ... 1.0070801e-03 9.7656250e-04
 8.2397461e-04]"
Han funderar över sin situation och konstaterar att han sitter på ett kontrakt som är värt väldigt mycket pengar.,"[ 2.1362305e-04  9.1552734e-05 -1.5258789e-04 ...  9.1552734e-05
 -3.0517578e-05  6.1035156e-05]"
aktier,"[ 0.00192261  0.00183105  0.00134277 ... -0.00027466 -0.00012207
 -0.00048828]"
De uppskattar att få träffa personer bakom disken som verkligen vet vad kvalificerad ekonomisk rådgivning handlar om.,"[-3.9672852e-04 -7.9345703e-04  3.0517578e-04 ...  6.1035156e-05
  1.5258789e-04  3.6621094e-04]"
fötterna,[0.00308228 0.00292969 0.00302124 ... 0.00018311 0.00027466 0.00027466]
J,[0.00039673 0.00042725 0.00033569 ... 0.00027466 0.00061035 0.00079346]
Vi fick upp en oerhörd fart.,"[-3.9672852e-04 -2.7465820e-04 -7.3242188e-04 ... -3.0517578e-05
  1.5258789e-04  3.3569336e-04]"
Böckerna är skrivna av en ungersk präst eller munk som levde på sjuttonhundratalet.,"[-0.00436401 -0.00405884 -0.00427246 ...  0.00085449  0.00085449
  0.00097656]"
Man vill vara den som man inbillar sig att man kunde ha blivit.,"[-9.1552734e-05 -2.4414062e-04 -2.1362305e-04 ... -9.1552734e-05
 -3.9672852e-04  1.5258789e-04]"
Litet mjukt underlag i går efter de senaste dagarnas snöfall.\Punkt,[0.00039673 0.00030518 0.00045776 ... 0.00039673 0.00018311 0.00021362]
"För oss tjejer var det mest oskyldiga saker, vi fick äta konstig mat och liknande.","[-0.00253296 -0.00161743 -0.00180054 ... -0.00033569 -0.00064087
 -0.00015259]"
Den lilla flickan låste vettskrämd in sig i ett sovrum.,"[-0.00112915 -0.00057983 -0.00018311 ... -0.00018311  0.00015259
 -0.00039673]"
övriga,[0.00033569 0.0005188  0.00039673 ... 0.00021362 0.00015259 0.00027466]
Publiken har blivit kräsnare på vart de väljer att gå ut och dansa.,"[-0.00115967 -0.00119019 -0.00134277 ... -0.00042725  0.
 -0.00045776]"
Hon gjorde en liten konstpaus och böjde sej ner för att knyta sin sko.,"[-1.6479492e-03 -1.4038086e-03 -9.1552734e-04 ... -2.1362305e-04
 -9.1552734e-05 -1.2207031e-04]"
Bruno Lindfors,"[ 0.00064087  0.00061035  0.00073242 ... -0.00018311 -0.00067139
 -0.00048828]"
Arkelstorp,[0.00048828 0.00088501 0.00061035 ... 0.0007019  0.00094604 0.00079346]
I prislistan anges vad det kostar att ta sig till och från flygplatsen.,"[-0.00024414 -0.00039673 -0.0005188  ... -0.00201416 -0.00079346
 -0.00204468]"
F Ö R M I D D A G E N,"[ 0.00045776  0.00076294  0.00057983 ...  0.00039673 -0.00024414
  0.00036621]"
Östen Vestberg,[0.00061035 0.0007019  0.00021362 ... 0.00015259 0.00021362 0.00021362]
Vi använder nostalgi och älskar att spela de gamla grejerna men det är bara ett verktyg för att få fram det nya.,[0.0015564  0.00186157 0.00195312 ... 0.00033569 0.00021362 0.00012207]
De har också starkt motsatt sig den massiva utplundringen av statens tillgångar.,"[ 0.0000000e+00 -1.8310547e-04  9.1552734e-05 ...  9.4604492e-04
  9.1552734e-04  8.5449219e-04]"
Han var nöjd med sig själv.,"[-3.3569336e-04 -1.2207031e-04  0.0000000e+00 ...  3.9672852e-04
 -3.0517578e-05  1.2207031e-04]"
"Lindblomsgrönt, milt gult och avlutat trä dominerar.","[-1.8310547e-04 -2.4414062e-04 -7.0190430e-04 ... -1.2207031e-04
 -2.1362305e-04  3.0517578e-05]"
tjugosex tusen sexhundrafem,"[ 0.00085449  0.0007019   0.00079346 ... -0.00042725 -0.00067139
 -0.00067139]"
Det fanns inte mycket annat att göra.,"[-0.00109863 -0.00079346 -0.00094604 ... -0.00033569 -0.00057983
 -0.00039673]"
"Det får därmed en unik officiell status, vilket ökar kraven på att man verkligen ska kunna lita på resultaten.","[-6.1035156e-05  3.0517578e-05 -1.8310547e-04 ...  1.8310547e-04
  2.7465820e-04  1.5258789e-04]"
Banker och fondbolag ska inte säga åt spararna att ha is i magen om det är en risk för trettionprocentiga kursfall.,"[ 6.7138672e-04  3.3569336e-04  5.1879883e-04 ... -3.0517578e-04
  2.7465820e-04  6.1035156e-05]"
"Man kan iaktta själva tillvaron i det sovande barnets ansikte, sin egen och dess.","[-0.00027466  0.00030518  0.00018311 ...  0.00054932  0.00018311
  0.00057983]"
Han lägger det försiktigt mot sin vänstra handled där han kan känna blodet pulsera.,"[-9.1552734e-05  6.1035156e-05 -9.1552734e-05 ...  0.0000000e+00
  9.1552734e-05 -9.1552734e-05]"
nittiotvå tusen sjuhundranio,"[-0.00082397 -0.00109863 -0.00067139 ... -0.00082397 -0.00073242
 -0.00054932]"
Örsundsbro,"[ 1.2207031e-04 -6.4086914e-04 -3.9672852e-04 ...  1.5258789e-04
  0.0000000e+00  6.1035156e-05]"
"Nu börjar jag gå in i den riktiga världen igen, men den är inte alltid så bra som jag trodde.","[ 3.0517578e-05  2.1362305e-04 -6.1035156e-05 ...  1.8310547e-04
  1.8310547e-04  1.5258789e-04]"
H Å L L I T,"[-1.5258789e-04 -6.1035156e-05  1.8310547e-04 ... -5.7983398e-04
 -6.4086914e-04 -6.1035156e-05]"
"Forsens dån leder honom fram till vattnet och Börje vill röra vid det med fötterna, fast han vet att det är farligt.","[ 0.00024414  0.00015259  0.00012207 ... -0.00039673 -0.0005188
 -0.00048828]"
Nynäshamn,[0.00036621 0.00012207 0.00012207 ... 0.00030518 0.00039673 0.00039673]
Du har lovat henne att du ska sy en kjol och skjorta av tyget du köpte för fyra år sedan.,"[ 0.00082397  0.00073242  0.00079346 ... -0.00082397 -0.00100708
 -0.00115967]"
sju  fem  tre  ett  tjugonio  sexhundratrettio,"[ 3.0517578e-05  1.5258789e-04  6.7138672e-04 ... -3.3569336e-04
 -3.6621094e-04 -3.3569336e-04]"
övriga,"[-1.2207031e-04  3.6621094e-04 -5.1879883e-04 ... -6.1035156e-05
  4.2724609e-04  1.8310547e-04]"
I efterhand får vi som var medlemmar i etiska rådet konstatera att vi förvisso hade fog för det väsentliga i våra bedömningar.,"[-8.5449219e-04 -1.4038086e-03 -1.5258789e-03 ... -1.2207031e-04
 -1.5258789e-04  9.1552734e-05]"
Hon hjälper arbetslösa kamrater att försöka hitta ny utbildning och ta till vara försäkringar och rättigheter som de som arbetslösa har.,"[3.0517578e-05 6.4086914e-04 6.1035156e-05 ... 2.1362305e-04 1.5258789e-04
 4.5776367e-04]"
Hilda Kristoffersson,"[-0.00292969 -0.00177002 -0.00094604 ... -0.00042725 -0.00067139
 -0.00012207]"
Roger Edlund,"[-6.1035156e-05 -3.6621094e-04 -2.7465820e-04 ... -8.5449219e-04
 -4.2724609e-04 -6.1035156e-05]"
Det är en övning i omdöme och nyhetsvärdering.,"[-0.0007019  -0.00076294 -0.00073242 ... -0.00039673 -0.00057983
 -0.00061035]"
ett  fyra  ett  fem  tjugosex  åttahundrafemtiosju,"[ 0.0000000e+00  4.5776367e-04 -9.1552734e-05 ... -3.6621094e-04
 -2.7465820e-04 -2.1362305e-04]"
sjukhuset,"[ 0.00048828  0.00024414  0.         ...  0.00030518 -0.00112915
 -0.00109863]"
G,"[ 0.         -0.00018311  0.00021362 ... -0.00057983 -0.00061035
 -0.00045776]"
Broaryd,"[-3.0517578e-05  0.0000000e+00  3.3569336e-04 ...  2.1362305e-04
  1.2207031e-04  6.1035156e-05]"
Jag fick inte ens börja där.,[0.00012207 0.00042725 0.00045776 ... 0.00067139 0.00064087 0.00082397]
De avser också att behålla det i framtiden.,"[ 0.         -0.00012207 -0.00012207 ...  0.00018311 -0.00033569
  0.        ]"
arbete,"[ 0.         -0.00021362 -0.00018311 ...  0.00302124  0.00366211
  0.003479  ]"
dottern,"[-0.0005188  -0.00048828 -0.00085449 ...  0.00048828  0.00036621
  0.00018311]"
riktning,"[ 0.0000000e+00 -2.4414062e-04 -1.2207031e-04 ...  3.9672852e-04
  4.2724609e-04  9.1552734e-05]"
dämpa ljus,"[8.2397461e-04 5.1879883e-04 1.0070801e-03 ... 9.1552734e-05 1.2207031e-04
 4.5776367e-04]"
Där hon satt kunde hon se dem glimma till.,"[-3.0517578e-05  1.8310547e-04  1.8310547e-04 ...  6.7138672e-04
  8.2397461e-04  7.0190430e-04]"
Jag har sannerligen inte försökt dölja det.,"[ 2.1362305e-04 -1.5258789e-04  0.0000000e+00 ...  6.1035156e-05
  1.2207031e-04  0.0000000e+00]"
Fast svårigheterna och kostnaderna för att återvända är stora.,[0.00073242 0.00030518 0.00027466 ... 0.00015259 0.00033569 0.00030518]
Testar en två tre fyra fem sex sju åtta.,"[-0.00326538 -0.00146484 -0.00021362 ...  0.0010376  -0.00054932
  0.00076294]"
två  sju  två  sju  sjuttiosex  niohundratjugo,"[-0.00039673 -0.00033569 -0.00045776 ... -0.00048828 -0.00045776
 -0.0005188 ]"
Detta symboliserar trygghet och styrka på varandets alla nivåer.,"[ 0.00064087  0.00091553  0.00125122 ... -0.00039673 -0.00033569
 -0.0005188 ]"
Lasse och Kjell har sett hur gubben mittemot brukar leta tomburkar i kvällsmörkret.,[0.00097656 0.00088501 0.0007019  ... 0.00076294 0.00067139 0.00039673]
Nätterna är på tok för ljusa för vårt hantverk.,"[-5.1879883e-04 -1.5258789e-04 -1.2207031e-04 ...  9.1552734e-05
  3.9672852e-04  5.7983398e-04]"
Mattmar,"[ 2.1362305e-04  1.2207031e-04 -1.8310547e-04 ...  6.1035156e-05
 -2.4414062e-04  0.0000000e+00]"
nitton,"[ 0.00030518  0.00042725  0.00030518 ... -0.00048828 -0.00018311
 -0.00027466]"
åttiosju tusen sexhundratrettiofyra,"[ 4.5776367e-04  7.9345703e-04  7.9345703e-04 ... -6.1035156e-05
 -1.8310547e-04  3.0517578e-05]"
"Där nedanför låg en ganska tråkig dal, mot bakgrund av kullarna som sluttade mot kusten.","[ 0.00085449  0.0010376   0.00088501 ... -0.0020752  -0.00192261
 -0.00164795]"
Annars får man skjuta bort det artilleri som finns inom räckhåll.,[0.00030518 0.00018311 0.00018311 ... 0.00064087 0.00042725 0.00027466]
Irma Holm,"[-2.1362305e-04 -2.7465820e-04 -3.0517578e-04 ... -2.1362305e-04
 -2.4414062e-04  3.0517578e-05]"
Om ni går runt här i stan ser ni att det är gott om glassbarer.,"[-0.00076294 -0.00036621 -0.00048828 ... -0.00021362 -0.00012207
 -0.00042725]"
Dessutom är den skriven på klar svenska.\Punkt,[0.00030518 0.00033569 0.0005188  ... 0.00012207 0.00039673 0.00018311]
Framför allt lägger männen beslag på tunga ämnen som ekonomi och dokumentärer.,"[ 7.6293945e-04  3.6621094e-04  6.7138672e-04 ...  1.2207031e-04
 -6.1035156e-05 -9.1552734e-05]"
"Jag håller utkik efter elefanter och tigrar men det blir inte mer spännande än hjortar, skriande vildsvin och en ylande vildkatt.","[ 0.00085449  0.00018311  0.00015259 ... -0.00042725 -0.00024414
 -0.00027466]"
En del boskap har redan dött sedan de fått i sig giftiga alger.\Punkt,"[ 0.0000000e+00  2.1362305e-04 -6.1035156e-05 ...  2.1362305e-04
 -6.1035156e-05  3.0517578e-04]"
Elise Axelsson,"[-4.5776367e-04 -3.0517578e-05 -3.9672852e-04 ... -1.8310547e-04
 -6.1035156e-04 -4.2724609e-04]"
Jag hade gärna bytt dem mot en insikt i kvantfysik.,"[ 3.9672852e-04  4.2724609e-04  4.5776367e-04 ...  0.0000000e+00
  9.1552734e-05 -1.5258789e-04]"
Har du sett våra rara barnbarn som leker och busar ute i grannträdgården!,"[-0.00082397 -0.00067139 -0.00064087 ... -0.00042725 -0.00042725
 -0.00042725]"
Vi missar djupet och äventyret och kan inte ens skilja den ena småfågeln från den andra.,"[ 0.00073242  0.00085449  0.00064087 ... -0.0007019  -0.00067139
 -0.00061035]"
"Dra skinnet av korven, skär den i tärningar.","[-1.1596680e-03 -7.0190430e-04 -8.8500977e-04 ...  3.0517578e-05
  3.3569336e-04  1.5258789e-04]"
åtta tusen femhundratjugo,"[1.2207031e-04 2.1362305e-04 3.3569336e-04 ... 3.3569336e-04 2.7465820e-04
 6.1035156e-05]"
De var inte rädda för människor.,"[-0.00039673  0.00018311 -0.0005188  ...  0.00073242  0.00027466
  0.00030518]"
"Lärarna skulle se på döva med respekt, som människor och behandla dem på lika villkor.","[ 0.00042725  0.00076294  0.0005188  ... -0.00027466 -0.00024414
 -0.00033569]"
R,"[-3.6621094e-04 -1.8310547e-04 -1.2207031e-04 ...  6.1035156e-05
  6.1035156e-05 -5.4931641e-04]"
AC,"[-0.00036621 -0.00033569 -0.00054932 ... -0.00033569 -0.00042725
 -0.00045776]"
Hon mindes att mamma bara pratade och pratade oavbrutet när hon broderade.,"[-0.0005188  -0.00067139 -0.00082397 ... -0.00250244 -0.00253296
 -0.00262451]"
Det var då köksdörren öppnades och mamma stod där.,"[-3.6621094e-04 -4.5776367e-04 -1.8310547e-04 ... -9.1552734e-05
 -3.6621094e-04 -1.2207031e-04]"
"Det var inte precis det jag tänkte på, jag ville bara larma polisen.","[-3.0517578e-05  2.4414062e-04  1.5258789e-04 ...  7.0190430e-04
  9.1552734e-04  7.3242188e-04]"
Delar av koncernen kan komma att säljas.,"[ 2.7465820e-04 -3.0517578e-05 -3.0517578e-05 ...  9.1552734e-05
 -1.8310547e-04  1.5258789e-04]"
Tallinn,"[ 5.1879883e-04  5.4931641e-04  7.6293945e-04 ... -1.5258789e-04
 -9.1552734e-05 -4.8828125e-04]"
bestämma,"[-1.2207031e-04  9.1552734e-05  3.9672852e-04 ... -3.3569336e-04
 -1.5258789e-04 -2.7465820e-04]"
fyra tusen åttahundranittiofem,"[-3.3569336e-04 -9.1552734e-05  9.1552734e-05 ...  7.3242188e-04
  5.4931641e-04  6.7138672e-04]"
Charlotte Håkansson,"[3.3569336e-04 3.9672852e-04 7.6293945e-04 ... 3.0517578e-05 6.1035156e-04
 1.2207031e-04]"
ignorera,"[ 2.4414062e-04  1.5258789e-04  9.1552734e-05 ...  1.0986328e-03
  3.0517578e-05 -1.2207031e-03]"
"Kunderna ska vara tuffa, säger han.","[ 6.1035156e-05 -6.1035156e-05 -9.1552734e-05 ... -6.1035156e-05
  3.0517578e-05 -3.0517578e-05]"
totalt,"[-1.8310547e-04  1.8310547e-04  3.0517578e-05 ... -3.9672852e-04
 -6.4086914e-04 -5.4931641e-04]"
Vi måste prata om det här.,"[-3.6621094e-04 -1.5258789e-04 -5.7983398e-04 ...  3.0517578e-04
 -2.1362305e-04  3.0517578e-05]"
Gränserna för det offentliga samtalet flyttas fram.,[0.00061035 0.00054932 0.00061035 ... 0.00039673 0.00015259 0.00027466]
miljon,"[ 2.1362305e-04 -3.3569336e-04 -3.0517578e-05 ... -1.5258789e-04
 -1.5258789e-04  1.5258789e-04]"
åttiosju tusen sjutton,"[ 0.00033569  0.00015259  0.00012207 ... -0.00213623 -0.00057983
 -0.00012207]"
"Jag menar, vi sitter med var sin specialitet.","[-0.00106812 -0.0010376  -0.00119019 ...  0.0015564   0.00143433
  0.00149536]"
fyra  sju  tre  två  trettio  femhundrasextionio,"[6.4086914e-04 4.2724609e-04 6.1035156e-05 ... 1.8310547e-04 1.5258789e-04
 2.1362305e-04]"
